,Actual_OFI,FNN_Model_OFI,actual_signal,FNN_signal
0,-1.0,-0.9,SELL,SELL
1,1.0,0.7994774,BUY,BUY
2,1.0,0.7994774,BUY,BUY
3,-1.0,-0.8782432,SELL,SELL
4,0.0,0.012573771,HOLD,BUY
5,1.0,0.7994774,BUY,BUY
6,1.0,0.87731695,BUY,BUY
7,-0.9601593625498008,-0.9,SELL,SELL
8,0.1111111111111111,0.09222596,BUY,BUY
9,1.0,0.8351607,BUY,BUY
10,1.0,0.8351607,BUY,BUY
11,1.0,0.8351607,BUY,BUY
12,-1.0,-0.91875756,SELL,SELL
13,1.0,0.9,BUY,BUY
14,-1.0,-0.9,SELL,SELL
15,-1.0,-0.9,SELL,SELL
16,-1.0,-0.9,SELL,SELL
17,1.0,0.8948436,BUY,BUY
18,0.3333333333333333,0.37116116,BUY,BUY
19,1.0,0.8948436,BUY,BUY
20,0.0,0.022061042,HOLD,BUY
21,1.0,0.8948436,BUY,BUY
22,1.0,0.9,BUY,BUY
23,1.0,0.8948436,BUY,BUY
24,-0.2,-0.21805865,SELL,SELL
25,1.0,0.8948436,BUY,BUY
26,1.0,0.8948436,BUY,BUY
27,-1.0,-0.9741098,SELL,SELL
28,1.0,0.90798813,BUY,BUY
29,0.0,0.01828783,HOLD,BUY
30,1.0,0.9167512,BUY,BUY
31,0.9875033958163543,0.9,BUY,BUY
32,1.0,0.9,BUY,BUY
33,1.0,0.9,BUY,BUY
34,1.0,0.9,BUY,BUY
35,-1.0,-0.9,SELL,SELL
36,-1.0,-0.9,SELL,SELL
37,-1.0,-0.9,SELL,SELL
38,-0.3333333333333333,-0.6646839,SELL,SELL
39,-0.9919678714859438,-0.9,SELL,SELL
40,1.0,0.9,BUY,BUY
41,1.0,0.9,BUY,BUY
42,1.0,0.9,BUY,BUY
43,0.6,0.9,BUY,BUY
44,-1.0,-0.9,SELL,SELL
45,1.0,0.9,BUY,BUY
46,1.0,0.9,BUY,BUY
47,-1.0,-0.9,SELL,SELL
48,-0.9754185208730664,-0.9,SELL,SELL
49,1.0,0.9,BUY,BUY
50,-1.0,-0.9,SELL,SELL
51,1.0,0.9,BUY,BUY
52,-1.0,-0.9,SELL,SELL
53,1.0,0.9,BUY,BUY
54,0.3333333333333333,0.21049255,BUY,BUY
55,1.0,0.9,BUY,BUY
56,1.0,0.9,BUY,BUY
57,1.0,0.9,BUY,BUY
58,1.0,0.9,BUY,BUY
59,-1.0,-0.98994166,SELL,SELL
60,1.0,0.9,BUY,BUY
61,1.0,0.99457544,BUY,BUY
62,1.0,0.97729844,BUY,BUY
63,0.0,0.004145317,HOLD,BUY
64,0.9053941908713693,0.9,BUY,BUY
65,-1.0,-0.9,SELL,SELL
66,1.0,0.9384251,BUY,BUY
67,1.0,0.9,BUY,BUY
68,0.7142857142857143,0.6087555,BUY,BUY
69,0.5,0.5274257,BUY,BUY
70,1.0,0.90798813,BUY,BUY
71,1.0,0.899225,BUY,BUY
72,1.0,0.9643406,BUY,BUY
73,1.0,0.9,BUY,BUY
74,1.0,0.9,BUY,BUY
75,1.0,0.88169855,BUY,BUY
76,-1.0,-0.94086313,SELL,SELL
77,1.0,0.9,BUY,BUY
78,-1.0,-0.95194536,SELL,SELL
79,1.0,0.85291487,BUY,BUY
80,0.2,0.114854984,BUY,BUY
81,1.0,0.8174064,BUY,BUY
82,1.0,0.7509101,BUY,BUY
83,1.0,0.8729357,BUY,BUY
84,-1.0,-0.2844121,SELL,SELL
